No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
66	50272619	0	0	0	0	30.5215	34.4972	0	8.782	0	0	0	0	0.0556	0.4591	0.471	0.0769	0.6714	0.3333
67	50272618	0	0	0	0	30.302	33.7161	0	8.25	0	0	0	0	0.0556	0.4458	0.471	0.0667	0.5499	0.3333
68	50272627	0	0	0	0	30.5215	34.7064	0	8.9227	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
69	50272628	0	0	0	0	27.0548	36.1726	0	10.5981	0	0	0	0	0.0556	0.4591	0.471	0.0769	0.6714	0.3333
70	50272630	0	0	0	0	26.8538	35.4345	0	10.0027	0	0	0	0	0.0556	0.4458	0.471	0.0667	0.5499	0.3333
71	50272631	0	0	0	0	27.0548	36.366	0	10.7555	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
72	50272633	0	0	0	0	32.9363	36.0475	0	8.9227	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
73	50272680	0	2.1545	1.8428	0	30.5215	36.9775	0	10.6019	0	0	0	0	0	0.2497	0.1754	0.3253	0.9733	0.3333
74	50272681	0	0	0	0	26.1308	34.5938	0	9.8138	0	0	0	0	0.0667	0.4934	0.5677	0.0833	0.6914	0.3333
75	50272685	0	0	0	0	31.0965	31.8357	0	8.0074	0	0	0	0	0	0.2673	0.378	0.0714	0.6012	0.3333
76	50151982	0	0	0	0	25.6621	27.1783	0	6.1767	0	0	0.3333	0	0.05	0.198	0.4095	0	0.239	0.3333
77	50272620	0	0	0	0	30.302	33.5279	0	8.1452	0	0	0	0	0.0526	0.445	0.437	0.0714	0.6012	0.3333
78	50272629	0	0	0	0	26.8538	35.2598	0	9.883	0	0	0	0	0.0526	0.445	0.437	0.0714	0.6012	0.3333
79	50272632	0	0	0	0	28.4099	33.3699	0	8.9227	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
80	50272682	0	0	0	0	28.3198	34.6742	0	9.3374	0	0	0	0	0.0625	0.4759	0.5394	0.0769	0.6415	0.3333
81	50272618	0	0	0	0	30.302	33.7161	0	8.25	0	0	0	0	0.0556	0.4458	0.471	0.0667	0.5499	0.3333
82	50451933	0	1.8426	1.104	0	32.1714	25.922	0	6.1954	0	0.05	0.5852	0.4827	0	0	0	0	0	0
