No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
164	50490940	411.56	6.9756	37.5288	0.6029	0.6361	1.1373	0.0736	5	11	6	0.0984	5	0	5	3	0	0	0	0	0	8	0	37.2881	8.4746	5.0847	0	10	12	0	0.4545	6	1	0
165	50490941	516.71	6.9826	47.8187	0.6105	0.6462	1.1331	0.0583	7	17	7	0.0909	5	0	6	3	0	0	0	0	0	9	0	39.1892	8.1081	4.0541	0	11	18	0	0.3793	6	1	0
166	50490943	530.74	6.8927	49.5801	0.6065	0.6439	1.1333	0.0567	7	17	8	0.1	5	0	6	3	0	0	0	0	0	9	0	38.961	7.7922	3.8961	0	12	18	0	0.4	6	1	0
167	50490944	502.68	7.08	46.0573	0.6148	0.6487	1.1328	0.0601	6	17	7	0.0946	5	0	6	3	0	0	0	0	0	9	0	39.4366	8.4507	4.2254	0	10	18	0	0.3571	6	1	0
168	50490945	544.77	6.8096	51.3415	0.6029	0.6418	1.1335	0.0551	7	17	9	0.1084	5	0	6	3	0	0	0	0	0	9	0	38.75	7.5	3.75	0	13	18	0	0.4194	6	1	0
169	50490946	530.74	6.8927	49.5801	0.6065	0.6439	1.1333	0.0567	7	17	8	0.1	5	0	6	3	0	0	0	0	0	9	0	38.961	7.7922	3.8961	0	12	18	0	0.4	6	1	0
170	50490947	570.68	7.7119	47.6312	0.626	0.6437	1.1468	0.0537	8	17	8	0.1039	5	0	6	3	0	0	0	0	0	12	3	39.1892	8.1081	4.0541	4.0541	11	18	0	0.3793	6	1	0
171	50490948	516.71	6.9826	47.8187	0.6105	0.6462	1.1331	0.0583	6	17	8	0.1039	5	0	6	3	0	0	0	0	0	9	0	39.1892	8.1081	4.0541	0	11	18	0	0.3793	6	1	0
172	50490942	502.68	7.08	46.0573	0.6148	0.6487	1.1328	0.0601	5	17	8	0.1081	5	0	6	3	0	0	0	0	0	9	0	39.4366	8.4507	4.2254	0	10	18	0	0.3571	6	1	0
173	50490949	512.67	7.3239	46.2959	0.6303	0.6614	1.1288	0.0583	6	18	7	0.0959	5	1	6	3	0	0	0	0	0	9	0	41.4286	8.5714	4.2857	0	10	18	1	0.3448	12	1	0
174	50490950	501.69	6.9679	46.813	0.6132	0.6502	1.1298	0.0601	6	17	7	0.0933	5	0	5	3	0	0	0	0	0	8	0	40.2778	6.9444	4.1667	0	11	18	0	0.3793	12	1	0
175	50490951	544.77	6.8096	51.3415	0.6029	0.6418	1.1335	0.0551	8	17	8	0.0964	5	0	6	3	0	0	0	0	0	9	0	38.75	7.5	3.75	0	13	18	0	0.4194	6	1	0
