No.	NAME	AAC	IDDE	IDMT	IVDE	Ges	rGes	S0K	Uindex	Xindex	Yindex	BertzCT	IC1	IC2	IC3	IC5	CIC1	CIC2	CIC4	BIC0	BIC2	BIC3	BIC4
3907	50020517	1.4414	4.0374	6631.7152	1.2155	19	1	80.7106	46.2128	0.5099	0.7832	326.6528	2.5685	3.9245	4.4361	4.8805	2.9233	1.5673	0.7002	0.2574	0.7008	0.7922	0.8557
3908	50020518	1.5586	3.7736	2732.9383	1.371	15	1	58.6034	31.2635	0.6137	1.0975	273.8411	2.8626	4.2108	4.3926	4.4532	2.1818	0.8336	0.5912	0.3003	0.8114	0.8464	0.8581
3909	50020519	1.5242	3.5778	3252.1818	1.749	13	0.8125	57.2451	34.6145	0.6218	1.126	315.6816	2.7862	3.8355	3.8911	3.9466	2.3837	1.3344	1.2233	0.2874	0.7232	0.7336	0.7441
3910	50020518	1.5586	3.7736	2732.9383	1.371	15	1	58.6034	31.2635	0.6137	1.0975	273.8411	2.8626	4.2108	4.3926	4.4532	2.1818	0.8336	0.5912	0.3003	0.8114	0.8464	0.8581
3911	50020523	1.5916	3.7255	4884.3709	1.2244	16	0.8889	71.0587	31.174	0.4281	0.7287	456.628	3.2113	4.1134	4.396	4.5358	1.8762	0.9741	0.5516	0.2961	0.7653	0.8179	0.8439
3912	50011780	1.6068	2.6464	642.9304	1.371	7	0.7	26.4644	16.5565	0.7449	1.6239	225.7606	2.9656	3.6421	3.8924	3.8924	1.2823	0.6058	0.3555	0.3552	0.8052	0.8605	0.8605
3913	50020527	1.5853	2.8074	1766.5838	1.5306	9	0.6429	43.303	21.1188	0.5832	1.3198	401.5902	2.9312	3.3347	3.4885	3.4885	1.7692	1.3658	1.2119	0.3143	0.6611	0.6916	0.6916
3914	50367853	1.6767	3.4183	13372.1257	1.0409	12	0.5	86.0391	48.8842	0.3606	0.5551	588.4629	3.1747	3.9706	4.1867	4.1867	2.2848	1.4889	1.2727	0.2927	0.6932	0.7309	0.7309
3915	50367852	1.7227	3.9161	7859.1044	1.3223	16	0.7619	82.2387	39.3815	0.4198	0.7152	574.3558	3.2524	4.241	4.7017	4.9123	1.9955	1.007	0.3357	0.311	0.7656	0.8488	0.8868
3916	50020519	1.5242	3.5778	3252.1818	1.749	13	0.8125	57.2451	34.6145	0.6218	1.126	315.6816	2.7862	3.8355	3.8911	3.9466	2.3837	1.3344	1.2233	0.2874	0.7232	0.7336	0.7441
3917	50020522	1.6944	3.6897	8263.5941	1.3223	19	0.9048	88.2387	39.5898	0.398	0.6473	608.1304	3.5372	4.2062	4.5945	4.777	1.6723	1.0032	0.4324	0.3068	0.7615	0.8318	0.8648
3918	50020521	1.4936	3.5725	3831.5425	1.7922	15	0.8824	64.732	38.0786	0.6334	1.1666	342.1501	2.7101	3.7334	4.0343	4.0856	2.5753	1.552	1.1998	0.2761	0.6902	0.7458	0.7553
3919	50020523	1.5916	3.7255	4884.3709	1.2244	16	0.8889	71.0587	31.174	0.4281	0.7287	456.628	3.2113	4.1134	4.396	4.5358	1.8762	0.9741	0.5516	0.2961	0.7653	0.8179	0.8439
3920	50020532	1.6365	3.75	2746.8001	1.4772	16	1	64	25.6038	0.5574	1.238	432.5106	3.1329	3.9899	4.1899	4.3899	1.774	0.917	0.6503	0.3141	0.7659	0.8043	0.8171
3921	50020520	1.5974	3.5216	2041.2625	1.5567	13	0.9286	51.303	27.8365	0.6668	1.305	271.2306	2.8635	3.8981	3.9647	4.0314	2.0434	1.0088	0.8755	0.3153	0.7694	0.7826	0.7958
3922	50011780	1.6068	2.6464	642.9304	1.371	7	0.7	26.4644	16.5565	0.7449	1.6239	225.7606	2.9656	3.6421	3.8924	3.8924	1.2823	0.6058	0.3555	0.3552	0.8052	0.8605	0.8605
3923	50020520	1.5974	3.5216	2041.2625	1.5567	13	0.9286	51.303	27.8365	0.6668	1.305	271.2306	2.8635	3.8981	3.9647	4.0314	2.0434	1.0088	0.8755	0.3153	0.7694	0.7826	0.7958
3924	50020514	1.6922	3.2516	1183.7227	1.5	12	1	43.0196	21.7641	0.7237	1.5606	234.806	2.9508	3.8554	3.9387	4.0221	1.6341	0.7296	0.5629	0.3539	0.8063	0.8238	0.8412
3925	50020515	1.5394	4.0049	8840.9782	1.2407	19	0.8636	92.1075	34.6154	0.3453	0.5896	690.6926	3.2542	4.224	4.6653	5.0531	2.0678	1.0979	0.3689	0.2714	0.7447	0.8225	0.8732
3926	50020529	1.527	3.9219	7366.3151	1.1568	18	0.9	82.4386	36.8261	0.3842	0.6053	485.248	3.2378	4.3939	4.6342	4.7531	2.0842	0.928	0.5689	0.2742	0.7889	0.832	0.8534
3927	50020529	1.527	3.9219	7366.3151	1.1568	18	0.9	82.4386	36.8261	0.3842	0.6053	485.248	3.2378	4.3939	4.6342	4.7531	2.0842	0.928	0.5689	0.2742	0.7889	0.832	0.8534
3928	50020517	1.4414	4.0374	6631.7152	1.2155	19	1	80.7106	46.2128	0.5099	0.7832	326.6528	2.5685	3.9245	4.4361	4.8805	2.9233	1.5673	0.7002	0.2574	0.7008	0.7922	0.8557
3929	50020516	1.7381	3.4399	7826.6987	1.4607	11	0.5238	72.2387	39.425	0.4231	0.7211	503.196	2.9956	3.6569	3.7595	3.8621	2.2898	1.6285	1.4233	0.3129	0.6584	0.6768	0.6953
3930	50008684	1.4374	3.3232	2156.8012	1.8062	15	1	58.6034	23.385	0.5808	1.2988	403.8452	3.4468	4.2603	4.4539	4.4539	1.5074	0.6939	0.5003	0.278	0.8241	0.8615	0.8615
3931	50008689	1.4047	4.0875	3056.6546	1.7131	17	1	69.4869	23.442	0.4888	1.1172	472.6139	3.4354	4.3789	4.7077	4.7077	1.6938	0.7504	0.4216	0.2622	0.8173	0.8787	0.8787
3932	50008685	1.3784	3.6416	3662.1308	1.7721	18	1	75.0587	25.4016	0.4824	1.0982	500.623	3.4897	4.6292	4.7871	4.7871	1.7582	0.6187	0.4608	0.2525	0.8479	0.8769	0.8769
3933	50074266	1.3764	3.6897	8447.81	0.7025	17	0.8095	84.2387	32.5585	0.3151	0.5003	490.7604	3.1418	4.0077	4.5786	4.6412	2.3176	1.4517	0.8182	0.2427	0.7065	0.8072	0.8182
3934	50074265	1.3427	3.6897	8447.81	0.7025	17	0.8095	84.2387	32.5585	0.3151	0.5003	527.1374	2.9295	3.8003	4.5715	4.6356	2.4968	1.626	0.7907	0.2367	0.67	0.8059	0.8172
3935	50074267	1.3427	3.7849	8054.8914	1.0488	19	0.9048	88.2387	32.4754	0.332	0.5469	547.3392	3.069	4.1548	4.833	4.8971	2.3572	1.2714	0.5292	0.2367	0.7325	0.852	0.8633
3936	50074268	1.3233	4.0839	15578.272	0.951	21	0.84	108.0964	42.32	0.2808	0.4221	722.7656	3.0006	3.9967	4.7522	5.0279	2.6141	1.618	0.6277	0.224	0.6766	0.8045	0.8443
3937	50074269	1.3209	3.9022	16588.3056	0.7793	20	0.7692	110.2114	38.4605	0.2548	0.3984	775.0803	3.042	3.9533	4.6137	4.8839	2.6019	1.6906	0.8	0.2218	0.6639	0.7749	0.8135
3938	50074270	1.4562	4.1757	10901.848	1.2143	19	0.8261	96.0419	37.148	0.3199	0.5212	615.407	3.1875	4.135	4.6811	4.6811	2.3361	1.3886	0.8425	0.253	0.7185	0.8134	0.8134
3939	50074271	1.3378	3.6887	13301.9882	0.9738	20	0.8333	102.0391	39.7349	0.2929	0.4506	707.6005	2.946	3.8435	4.6482	4.9419	2.5776	1.6801	0.6251	0.2294	0.6589	0.7969	0.8398
3940	50074273	1.2809	3.6897	8447.81	0.7025	17	0.8095	84.2387	32.5585	0.3151	0.5003	524.8107	2.9206	3.8078	4.5615	4.6867	2.5388	1.6516	0.7727	0.2247	0.668	0.8002	0.8222
3941	50074274	1.2969	4.1623	20899.0325	0.9087	23	0.8519	120.382	47.6882	0.2606	0.3774	753.196	2.9923	4.0578	4.8675	5.1858	2.789	1.7235	0.6319	0.2146	0.6713	0.8053	0.8519
3942	50074276	1.308	4.2364	19797.9585	0.7642	24	0.8889	122.382	40.809	0.2344	0.3479	827.6041	3.0833	4.1586	4.9806	5.3128	2.6446	1.5693	0.4528	0.2172	0.6905	0.827	0.8759
3943	8960	1.3474	4.4502	19311.7345	1.3329	24	0.8571	126.6059	42.7387	0.2734	0.45	800.7883	3.1633	4.4395	4.8458	4.9643	2.6696	1.3934	0.9037	0.2221	0.7318	0.7988	0.8126
3944	50074278	1.5178	4.3239	13921.2714	1.0783	23	0.92	112.0964	36.2348	0.2721	0.4433	721.7061	3.2583	4.344	4.9054	4.9462	2.3564	1.2707	0.6685	0.2591	0.7416	0.8374	0.8444
3945	50074277	1.2958	3.9947	22200.057	0.7496	22	0.7857	122.6059	42.9993	0.2336	0.3492	805.8309	3.0189	3.9805	4.7177	5.0574	2.7884	1.8269	0.7857	0.2129	0.6539	0.775	0.8249
3946	50074282	1.308	3.9862	19256.0757	0.7642	21	0.7778	116.382	40.7026	0.2435	0.3718	790.4397	3.0317	3.9913	4.7183	4.9732	2.6962	1.7366	0.7925	0.2172	0.6628	0.7835	0.8195
3947	8961	1.2922	3.1069	2131.1359	1.231	15	1	58.6034	19.7871	0.4818	1.0613	458.9276	3.2718	3.8235	4.3063	4.5132	1.5862	1.0345	0.3448	0.249	0.7367	0.8297	0.8696
3948	50074281	1.3258	3.914	9412.9591	1.0226	18	0.8182	90.1075	34.7555	0.3248	0.5326	568.2084	3.0179	3.9903	4.6212	4.6811	2.5057	1.5332	0.8425	0.2304	0.6934	0.803	0.8134
3949	50074283	1.3959	3.6897	8447.81	0.7025	17	0.8095	84.2387	32.5585	0.3151	0.5003	529.0146	3.1262	3.9191	4.5172	4.5828	2.2661	1.4732	0.8095	0.2473	0.6944	0.8004	0.812
3950	50074286	1.3209	4.162	17077.0114	0.7793	23	0.8846	116.2114	38.5638	0.2447	0.371	812.2036	3.0862	4.1404	4.9717	5.2439	2.5576	1.5035	0.44	0.2218	0.6954	0.835	0.874
3951	50074287	1.756	3.9737	13008.2716	1.4293	19	0.76	103.3415	41.752	0.3426	0.5999	664.4968	3.3959	4.0272	4.5615	4.6241	2.0635	1.4323	0.8353	0.308	0.7065	0.8002	0.8112
3952	50074285	1.4343	4.1343	16306.6915	0.7642	21	0.7778	116.382	40.0262	0.2905	0.5151	811.5386	3.0081	3.7594	4.4664	4.8489	2.6644	1.913	0.9412	0.24	0.629	0.7472	0.7915
3953	50074284	1.4687	3.8231	10112.4768	0.684	18	0.8182	90.1075	34.9269	0.3004	0.4639	547.208	3.082	3.9957	4.6241	4.6867	2.3774	1.4638	0.7727	0.2576	0.7009	0.8112	0.8222
3954	50074288	1.602	4.1757	10901.848	1.2143	19	0.8261	96.0419	37.148	0.3199	0.5212	620.9788	3.3271	4.1784	4.6241	4.6241	2.1323	1.281	0.8353	0.281	0.733	0.8112	0.8112
3955	50074275	1.2958	4.2359	22796.6197	0.7496	26	0.9286	130.6059	43.1048	0.2253	0.3284	843.036	3.0642	4.188	5.0643	5.3788	2.7432	1.6193	0.4643	0.2129	0.688	0.8319	0.8777
3956	50074289	1.4687	3.914	9412.9591	1.0226	18	0.8182	90.1075	34.7555	0.3248	0.5326	573.7802	3.1498	4.0272	4.5615	4.6241	2.3096	1.4323	0.8353	0.2576	0.7065	0.8002	0.8112
3957	50074291	1.5228	3.914	9412.9591	1.0226	17	0.7727	87.3526	34.7555	0.3248	0.5326	575.6574	3.3148	4.0248	4.5715	4.6356	2.1115	1.4015	0.7907	0.2685	0.7095	0.8059	0.8172
3958	50074290	1.4959	3.7219	7093.6372	0.7219	16	0.8	78.4386	30.2681	0.3266	0.5286	480.0029	3.04	3.7751	4.4031	4.4719	2.2819	1.5469	0.85	0.2686	0.6778	0.7905	0.8029
3959	50074292	1.3345	4.1639	14620.0024	0.795	23	0.92	112.0964	36.3695	0.2564	0.3984	796.8341	3.0422	3.9977	4.882	5.1716	2.5124	1.5569	0.4255	0.2268	0.6796	0.8299	0.8719
3960	50074293	1.3959	3.6897	8447.81	0.7025	17	0.8095	84.2387	32.5585	0.3151	0.5003	529.0146	3.1262	3.9191	4.5172	4.5828	2.2661	1.4732	0.8095	0.2473	0.6944	0.8004	0.812
3961	50074279	1.4932	3.6897	8447.81	0.7025	16	0.7619	82.2387	32.5585	0.3151	0.5003	532.6243	3.057	3.8354	4.5099	4.5771	2.3005	1.5221	0.7805	0.2659	0.6831	0.8032	0.8152
3962	50029912	1.3627	4.2545	16589.0111	1.3516	23	0.8519	120.382	40.4198	0.2884	0.4911	785.4801	3.2041	4.4231	4.75	4.8751	2.5508	1.3318	0.9168	0.2271	0.7372	0.7917	0.8063
3963	50029914	1.3048	4.3158	15502.9105	1.2389	22	0.8462	114.2114	38.3552	0.2749	0.4503	739.0773	3.1342	4.4114	4.8927	4.9967	2.5937	1.3165	0.7312	0.2183	0.738	0.8186	0.8359
3964	50029916	1.333	4.3752	22186.475	1.3142	25	0.8621	132.8814	45.093	0.2629	0.4235	816.1298	3.0927	4.3913	4.9358	5.0484	2.8142	1.5156	0.8918	0.2175	0.7164	0.8053	0.8182
3965	50029917	1.3474	4.3788	19057.253	1.3329	24	0.8571	126.6059	42.7056	0.2771	0.4605	800.7883	3.1633	4.4745	4.8809	5.0696	2.6696	1.3583	0.8686	0.2221	0.7376	0.8046	0.8184
3966	50029915	1.3787	4.5484	23118.137	1.3996	26	0.8667	139.2067	47.3027	0.279	0.4681	862.8247	3.1416	4.4256	4.7826	5.1395	2.7891	1.5051	1.0251	0.2242	0.7196	0.7777	0.7977
3967	50029919	1.2307	4.3239	14158.8953	1.0783	21	0.84	108.0964	36.3026	0.2665	0.4255	692.3748	2.929	4.0679	4.7174	5.0081	2.7715	1.6326	0.7453	0.2067	0.6832	0.7923	0.8322
3968	9408	1.2804	4.2151	23787.1704	0.9816	22	0.7333	131.2067	47.0864	0.2668	0.4445	864.5097	2.8182	3.6918	4.527	5.0736	3.0887	2.2151	0.9126	0.2069	0.5964	0.7314	0.8069
3969	50029921	1.5054	4.6316	26418.1121	1.4617	28	0.9032	147.5801	49.7743	0.2663	0.4351	952.4541	3.4101	4.6533	5.0435	5.1452	2.4726	1.2293	0.7714	0.2448	0.7567	0.8201	0.8311
3970	9405	1.2994	4.1639	14638.4046	1.164	19	0.76	104.0964	42.1665	0.3005	0.4736	623.5147	2.8787	3.8929	4.4869	4.8458	2.8492	1.8351	0.9199	0.2182	0.6538	0.7536	0.8075
3971	50029925	1.3048	4.162	15239.5949	1.2389	22	0.8462	114.2114	38.3257	0.2793	0.4626	739.0773	3.1342	4.4022	4.8835	4.9967	2.5937	1.3257	0.7312	0.2183	0.7365	0.817	0.8359
3972	50029926	1.3474	4.3518	19004.0062	1.3329	24	0.8571	126.6059	42.724	0.2778	0.4616	800.7883	3.1633	4.4262	4.8325	5.0696	2.6696	1.4067	0.8686	0.2221	0.7297	0.7966	0.8184
