No.	NAME	Ui	Hy	TPSA(Tot)	MLOGP	MLOGP2	ALOGP2	LOGPcons	ESOL	PDI	SAscore
1757	50053444	3.585	-0.846	47.36	4.6538	21.6577	25.7384	4.9071	-5.874	1.0364	3.9073
1758	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
1759	50053451	3.1699	-0.8193	47.36	3.6009	12.9664	12.8859	3.7914	-4.6826	1.0163	3.6819
1760	50053452	3.0875	-0.7405	61.94	2.3909	5.7163	2.3547	2.3158	-3.285	1.0013	3.5366
1761	50053437	2.585	-0.7984	47.36	3.196	10.2143	10.9224	3.5007	-4.206	0.9801	3.3439
1762	50053453	2.585	-0.8059	47.36	3.4148	11.6606	14.1459	3.8557	-4.5332	0.9758	3.3426
1763	50053454	2.585	-0.7904	47.36	2.973	8.8386	8.1151	3.1443	-3.878	0.9848	3.3686
1764	50053436	2.585	-0.7904	47.36	2.973	8.8386	9.5191	3.3051	-3.8018	0.9491	3.3611
1765	50053532	3.1699	-0.8254	47.36	3.8085	14.505	16.3693	4.1427	-5.0052	1.0104	3.6749
1766	50053567	3.0875	-0.7509	61.94	2.6232	6.8813	3.9629	2.6753	-3.6116	0.995	3.5219
1767	50053568	2.585	-0.8254	47.36	4.0484	16.3895	27.5993	4.9545	-4.9397	0.9654	3.4254
1768	50053443	3.1699	-0.8193	47.36	3.8689	14.9683	16.9143	4.0864	-4.6995	0.9811	3.6434
1769	50053570	3.1699	-0.8193	47.36	3.8689	14.9683	15.0242	3.9255	-4.7757	1.0163	3.6498
1770	50053569	3.1699	-0.831	47.36	4.2809	18.326	22.9297	4.6271	-5.4206	1.005	3.6192
1771	50061159	3.8074	-0.4664	66.02	3.0641	9.3887	27.0234	4.5734	-5.3864	0.9704	4.681
1772	50061160	2.3219	0.1574	52.93	3.6612	13.4042	22.2671	4.0981	-4.0378	0.8633	4.1126
1773	50061161	3.7004	-0.4852	48.95	3.5	12.2503	30.5588	4.9864	-5.595	0.9725	4.6692
1774	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
1775	50050566	1.585	-0.4864	49.77	5.3494	28.6156	52.4726	6.5822	-6.1613	0.8802	4.1518
1776	50050567	1.585	-0.4795	49.77	5.1591	26.6167	46.0715	6.2367	-5.9373	0.8797	4.141
1777	50050568	1.585	-0.4723	49.77	4.9664	24.6647	40.0866	5.8904	-5.7128	0.8791	4.1312
1778	50050569	1.585	-0.4646	49.77	4.7709	22.7615	33.0786	5.5018	-5.459	0.8784	4.1212
1779	50050571	1.585	-0.4795	49.77	5.1591	26.6167	49.3394	6.3976	-5.7611	0.8631	4.1468
1780	50050572	1.585	-0.4723	49.77	4.9664	24.6647	43.1386	6.0512	-5.5365	0.862	4.1376
1781	50050573	1.585	-0.4646	49.77	4.7709	22.7615	37.3541	5.704	-5.3114	0.8608	4.1297
1782	50050689	1.585	-0.4565	49.77	4.5726	20.909	30.6008	5.3145	-5.0569	0.8595	4.1217
1783	50050691	1.585	-0.4795	49.77	5.1591	26.6167	46.0715	6.2367	-5.8373	0.8797	4.1525
1784	50050692	1.585	-0.4723	49.77	4.9664	24.6647	40.0866	5.8904	-5.6128	0.8791	4.1435
1785	50050693	1.585	-0.4646	49.77	4.7709	22.7615	34.518	5.5431	-5.3876	0.8784	4.1358
1786	50050694	1.585	-0.4565	49.77	4.5726	20.909	28.0391	5.1536	-5.1331	0.8777	4.128
1787	50050696	1.585	0.1926	57.53	3.8995	15.206	19.2028	4.3101	-4.3804	0.8397	3.9564
1788	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
1789	50159738	3.1699	-0.4246	56.41	3.3389	11.1482	8.1687	3.2009	-4.4559	0.9814	4.8889
1790	50199531	3.4594	0.0473	112.82	3.1115	9.6817	4.7803	2.8256	-5.6887	0.9955	5.9617
1791	50199548	3.4594	0.039	112.82	3.2814	10.7674	5.0571	3.033	-5.9169	0.9926	5.9801
1792	50199521	3.1699	0.0152	78.68	4.0888	16.7181	12.7306	4.0575	-6.2601	0.9962	5.8996
1793	50159749	3	-0.4565	39.6	4.4053	19.4068	25.6613	4.6208	-5.3165	0.961	5.0862
1794	50159747	2.3219	0.2897	44.89	2.6337	6.9366	1.5866	1.976	-2.9637	0.995	4.8165
1795	50159755	3	-0.4212	55.47	2.638	6.9589	5.4028	2.6408	-4.2132	0.9941	4.9793
1796	50061237	2.9069	0.8532	124.85	3.1539	9.9469	26.5709	4.5596	-5.3044	0.9518	4.2863
1797	50061238	2.9069	0.8441	124.85	2.6782	7.1729	20.1628	3.9617	-4.6867	0.9518	4.1419
1798	50061239	3.5236	1.5164	103.71	2.2575	5.0961	20.6089	3.6269	-4.8453	0.9442	4.0669
1799	50061240	3.5236	1.5127	103.71	1.7882	3.1977	15.018	3.0312	-4.2308	0.944	3.9281
1800	50061274	3.5236	2.3108	114.71	2.0562	4.2281	18.3929	3.3752	-4.6919	0.9363	4.0055
1801	50061294	3.5236	2.3141	114.71	1.5839	2.5087	13.1356	2.7785	-4.077	0.9358	3.8624
1802	50052205	3.585	-0.3959	36.74	na	na	0.72	0.6838	-2.867	1.0053	3.8583
1803	50052207	3.585	-0.4078	36.74	na	na	1.1638	0.9532	-2.8607	0.9945	4.0369
1804	50052209	3.8074	-0.3231	82.56	na	na	0.5519	0.8467	-3.1202	0.9863	3.9608
1805	50052211	3.585	-0.3456	36.74	na	na	3.6918	1.8736	-3.8187	0.9957	4.007
1806	50052213	3.585	-0.3697	36.74	na	na	1.7983	1.3113	-3.4984	1.003	3.9182
1807	50052216	3.585	-0.3697	36.74	na	na	0.637	0.7281	-2.7283	1.0004	3.8637
1808	50052217	3.585	-0.3697	36.74	na	na	0.637	0.7281	-2.7283	1.0004	3.9533
1809	50052218	3.585	-0.3697	36.74	na	na	1.58	1.2147	-3.1647	0.9979	3.9481
1810	50052219	3.585	-0.3697	36.74	na	na	1.7983	1.3113	-3.4984	1.003	4.0102
1811	50052220	3.585	-0.3822	45.97	na	na	0.332	0.5519	-2.5683	0.9835	3.9763
1812	50052221	3.8074	-0.3231	82.56	na	na	0.2372	0.7187	-2.7647	0.9814	3.9599
1813	50052222	3.585	-0.3456	36.74	na	na	3.6918	1.8736	-3.8187	0.9957	3.9371
1814	50052203	3.585	-0.3456	36.74	na	na	3.6918	1.8736	-3.8187	0.9957	4.0272
1815	50052202	3.585	-0.3822	36.74	na	na	1.4201	1.2248	-3.2459	0.9925	4.2529
1816	8960	3	-0.8482	38.77	3.5161	12.3629	20.8822	4.149	-4.7765	0.9656	3.7728
1817	50053419	3.1699	-0.8254	47.36	4.0765	16.6182	18.7688	4.2768	-5.0984	1.0104	3.6222
1818	50053420	3.5236	-0.7775	61.94	3.3334	11.1115	6.5633	3.1126	-4.1838	1.035	3.8556
1819	50053421	3.585	-0.8413	47.36	4.4583	19.8766	21.3176	4.5598	-5.5551	1.0432	3.9635
1820	50053422	3.1699	-0.8129	47.36	3.6578	13.3792	13.37	3.7339	-4.3764	0.9854	3.7126
1821	50053423	3.1699	-0.8129	47.36	3.6578	13.3792	11.6957	3.5731	-4.4526	1.0229	3.7192
1822	50053425	3.1699	-0.8254	47.36	4.0765	16.6182	18.7688	4.2768	-5.0984	1.0104	3.677
1823	50053427	3.5236	-0.7693	61.94	3.1146	9.7007	5.0207	2.9184	-3.9736	1.0437	3.7819
1824	50053428	3.585	-0.8363	47.36	4.2601	18.1481	18.4548	4.3725	-5.3475	1.0507	3.8971
1825	50053429	3.1699	-0.8059	47.36	3.4429	11.8537	11.1242	3.5411	-4.1645	0.9902	3.6335
1826	50053431	3.1699	-0.8059	47.36	3.4429	11.8537	9.6019	3.3802	-4.2407	1.0303	3.6404
1827	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
1828	50053435	2.3219	-0.815	28.07	3.2131	10.3237	9.3153	3.282	-3.8136	0.9938	3.4797
1829	8987	2.7004	0.3898	38.91	2.7401	7.5081	11.9329	3.1812	-3.9	1.0444	3.2951
1830	50065332	3.9542	0.0672	121.15	2.1469	4.6094	59.7096	5.8169	-6.9629	0.9787	4.1367
1831	50065354	3.9542	0.0761	121.15	1.9754	3.9023	52.8674	5.4776	-6.7468	0.9812	4.1267
1832	50065378	3.9542	0.0854	121.15	1.8021	3.2476	46.4415	5.1377	-6.5303	0.9838	4.1177
1833	50065379	3.9542	0.095	121.15	1.627	2.6471	38.8727	4.756	-6.285	0.9866	4.1123
1834	50065355	3.9542	0.0672	121.15	2.1469	4.6094	59.7096	5.8169	-6.9629	0.9787	4.1828
1835	50065361	3.9542	0.0761	121.15	1.9754	3.9023	52.8674	5.4776	-6.7468	0.9812	4.1739
1836	50064001	3.3219	-0.7263	87.44	1.3419	1.8006	11.5981	2.8422	-3.962	0.9287	3.7879
1837	50064002	3.3219	-0.7351	87.44	1.5567	2.4234	14.0955	3.1601	-4.1619	0.9273	3.7697
1838	50065380	3.9542	0.0854	121.15	1.8021	3.2476	46.4415	5.1377	-6.5303	0.9838	4.1659
1839	50065381	3.9542	0.095	121.15	1.627	2.6471	38.8727	4.756	-6.285	0.9866	4.1616
1840	50064003	3.3219	-0.7512	87.44	1.9755	3.9026	20.3347	3.8104	-4.7724	0.9124	3.8217
1841	50064005	3.3219	-0.7434	87.44	1.3759	1.893	15.7927	3.2211	-4.4715	0.9538	3.7457
1842	50064006	3.3219	-0.7211	90.68	0.6368	0.4056	9.0848	2.2419	-3.8777	0.9496	3.7847
1843	50064021	3.7004	-0.764	90.68	1.6189	2.621	21.1379	3.6206	-5.129	0.971	3.8839
1844	50064022	3.3219	-0.7169	87.44	1.1231	1.2613	9.344	2.523	-3.7617	0.9303	3.7885
1845	50064023	3.7004	-0.3744	101.68	1.9372	3.7526	18.8929	3.542	-5.095	0.9644	3.947
1846	50064028	3.3219	-0.3097	101.68	0.9367	0.8774	7.6347	2.1572	-3.8392	0.9412	3.8695
