No.	NAME	qpmax	qnmax	Qtot	Qmean	Q2	RPCG	RNCG	SPP	LDI
4611	50443046	0.2169	-0.3016	2.6776	0.0669	0.3597	0.162	0.2253	0.5185	0.1174
4612	50443029	0.4174	-0.3016	3.584	0.0833	0.6171	0.2329	0.1683	0.719	0.1587
4613	50443030	0.2169	-0.3016	2.7252	0.0681	0.3647	0.1592	0.2213	0.5185	0.1197
4614	50443047	0.2169	-0.3016	2.8958	0.0724	0.4112	0.1498	0.2083	0.5185	0.128
4615	50443048	0.2169	-0.3016	2.8048	0.0652	0.3656	0.1547	0.2151	0.5185	0.1101
4616	50443049	0.2169	-0.3016	2.7608	0.069	0.3675	0.1572	0.2185	0.5185	0.116
4617	50342601	0.2489	-0.3259	2.682	0.0745	0.4556	0.1856	0.243	0.5748	0.1382
4618	50446576	0.2253	-0.4929	4.4967	0.0899	0.8241	0.082	0.2819	0.7182	0.1342
4619	50446577	0.3394	-0.4929	4.3524	0.1176	0.9483	0.1268	0.2941	0.8323	0.1744
4620	10404	0.2102	-0.4914	3.8496	0.0917	0.9116	0.1092	0.2553	0.7017	0.1455
4621	50156693	0.3372	-0.5032	3.4234	0.1556	1.0459	0.197	0.294	0.8404	0.257
4622	50446578	0.3372	-0.5032	4.2578	0.1092	1.1711	0.1584	0.2364	0.8404	0.1961
4623	50446579	0.3372	-0.5032	4.2997	0.1	1.1561	0.1569	0.2341	0.8404	0.1731
4624	50446580	0.3372	-0.5032	4.1935	0.1048	1.1519	0.1608	0.24	0.8404	0.1811
4625	50446581	0.3372	-0.5032	4.2594	0.1014	1.155	0.1583	0.2363	0.8404	0.182
4626	50446582	0.3372	-0.5032	4.2789	0.107	1.1553	0.1576	0.2352	0.8404	0.1828
4627	50446583	0.3372	-0.5032	4.1728	0.1128	1.1512	0.1616	0.2412	0.8404	0.1921
4628	50446584	0.3372	-0.5032	4.2386	0.1087	1.1543	0.1591	0.2374	0.8404	0.1928
4629	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4630	10404	0.2102	-0.4914	3.8496	0.0917	0.9116	0.1092	0.2553	0.7017	0.1455
4631	50448444	0.2921	-0.5067	5.3063	0.1061	1.2863	0.1101	0.191	0.7989	0.1762
4632	50448445	0.2921	-0.5067	5.3086	0.0948	1.2541	0.1101	0.1909	0.7989	0.1581
4633	30707	0.1653	-0.4951	2.5727	0.0757	0.5702	0.1285	0.3849	0.6604	0.1357
4634	50038691	0.1653	-0.4951	2.5745	0.083	0.5869	0.1284	0.3846	0.6604	0.1489
4635	50024206	0.2921	-0.5067	2.597	0.0838	0.6472	0.225	0.3903	0.7989	0.1543
4636	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4637	50443670	0.1732	-0.4951	6.3453	0.0774	1.3029	0.0546	0.1561	0.6684	0.1213
4638	50443671	0.1959	-0.4951	6.5091	0.0757	1.3154	0.0602	0.1521	0.6911	0.1222
4639	50443672	0.1959	-0.4951	6.2968	0.0787	1.307	0.0622	0.1573	0.6911	0.1271
4640	50443673	0.2035	-0.4918	8.0168	0.0911	1.8911	0.0508	0.1227	0.6954	0.1413
4641	50443674	0.1959	-0.4918	7.1635	0.0853	1.5961	0.0547	0.1373	0.6878	0.1341
4642	50443675	0.1959	-0.4945	6.3661	0.0796	1.3122	0.0616	0.1554	0.6905	0.127
4643	50443676	0.1959	-0.4951	6.3264	0.0791	1.3088	0.0619	0.1565	0.691	0.1258
4644	50443677	0.1959	-0.4918	6.348	0.0705	1.1884	0.0617	0.155	0.6878	0.1185
4645	50443678	0.1959	-0.4918	5.6048	0.0737	1.0406	0.0699	0.1755	0.6878	0.1176
4646	50443679	0.1959	-0.4918	5.7754	0.076	1.0872	0.0679	0.1703	0.6878	0.1216
4647	50443680	0.1959	-0.4918	5.6844	0.072	1.0414	0.0689	0.1731	0.6878	0.1128
4648	50443681	0.1959	-0.4918	6.1692	0.0734	1.1868	0.0635	0.1595	0.6878	0.1212
4649	50443682	0.1959	-0.4951	6.7501	0.0734	1.3249	0.0581	0.1467	0.6911	0.1172
4650	50443683	0.1959	-0.4951	6.644	0.0747	1.3207	0.059	0.149	0.6911	0.1193
4651	50443684	0.1959	-0.4951	6.5378	0.076	1.3164	0.0599	0.1515	0.6911	0.1214
4652	50443685	0.1959	-0.4951	6.3256	0.0791	1.308	0.062	0.1565	0.6911	0.1262
4653	50443686	0.1959	-0.4951	6.2195	0.0808	1.3038	0.063	0.1592	0.6911	0.1288
4654	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4655	10620	0.4164	-0.4098	3.0777	0.0769	0.6536	0.2706	0.2663	0.8262	0.1551
4656	50443693	0.1931	-0.4918	5.9465	0.0661	1.0271	0.0649	0.1654	0.6849	0.1081
4657	50443694	0.1931	-0.4918	5.7343	0.0683	1.0187	0.0673	0.1715	0.6849	0.1118
4658	50443696	0.1931	-0.4918	5.2069	0.0668	0.9847	0.0742	0.1889	0.6849	0.115
4659	50443697	0.1931	-0.4918	5.2727	0.0659	0.9878	0.0732	0.1866	0.6849	0.1163
4660	50443698	0.1931	-0.4918	5.5221	0.0708	1.0102	0.0699	0.1781	0.6849	0.1162
4661	50443699	0.1931	-0.4918	5.1008	0.068	0.9805	0.0757	0.1929	0.6849	0.1177
4662	50443700	0.1931	-0.4918	4.9946	0.0694	0.9763	0.0773	0.1969	0.6849	0.1199
4663	50443692	0.1931	-0.4918	5.0605	0.0684	0.9794	0.0763	0.1944	0.6849	0.1212
4664	50443701	0.1931	-0.4918	5.3099	0.0737	1.0018	0.0727	0.1853	0.6849	0.1212
4665	50443702	0.1931	-0.4918	4.8885	0.0708	0.972	0.079	0.2012	0.6849	0.123
4666	50443703	0.1931	-0.4918	4.7824	0.0725	0.9678	0.0807	0.2057	0.6849	0.1257
4667	50443704	0.1931	-0.4918	4.8483	0.0713	0.971	0.0797	0.2029	0.6849	0.1271
4668	50443705	0.1931	-0.4918	5.0977	0.0772	0.9935	0.0758	0.193	0.6849	0.1267
4669	50443707	0.1931	-0.4918	4.6764	0.0742	0.9637	0.0826	0.2104	0.6849	0.1289
4670	50443708	0.1931	-0.4918	4.5703	0.0762	0.9596	0.0845	0.2152	0.6849	0.1322
4671	50443709	0.1931	-0.4918	4.6361	0.0748	0.9627	0.0833	0.2122	0.6849	0.1335
4672	50445720	0.1684	-0.3556	3.8495	0.0855	0.6415	0.0875	0.1847	0.524	0.1488
4673	50445721	0.1684	-0.3556	3.5082	0.078	0.5484	0.096	0.2027	0.524	0.135
4674	50445692	0.1684	-0.3556	3.6675	0.0719	0.5501	0.0918	0.1939	0.524	0.1182
4675	50445693	0.1684	-0.4948	5.0325	0.095	1.0916	0.0669	0.1966	0.6632	0.1597
4676	50445694	0.1684	-0.3556	3.528	0.0784	0.5529	0.0955	0.2016	0.524	0.1348
4677	50445695	0.1684	-0.3556	3.5793	0.0795	0.5538	0.0941	0.1987	0.524	0.1291
4678	10404	0.2102	-0.4914	3.8496	0.0917	0.9116	0.1092	0.2553	0.7017	0.1455
4679	50445696	0.1749	-0.4951	4.7178	0.08	0.793	0.0742	0.2099	0.67	0.134
4680	50445697	0.1749	-0.4951	4.3765	0.0742	0.6999	0.0799	0.2263	0.67	0.1237
4681	50445698	0.1749	-0.4951	4.5358	0.0698	0.7016	0.0771	0.2183	0.67	0.1118
4682	50445699	0.1749	-0.4951	5.9105	0.0882	1.2439	0.0592	0.1675	0.67	0.1441
4683	50445700	0.1749	-0.4951	4.3968	0.0745	0.7048	0.0796	0.2252	0.67	0.1235
4684	50445701	0.1749	-0.4951	4.4476	0.0754	0.7054	0.0787	0.2226	0.67	0.1193
4685	50445702	0.1749	-0.3081	3.997	0.0727	0.5256	0.0875	0.1542	0.4831	0.1229
4686	50445703	0.1749	-0.3081	3.6557	0.0665	0.4325	0.0957	0.1686	0.4831	0.1118
4687	50445704	0.1749	-0.3081	3.815	0.0625	0.4342	0.0917	0.1615	0.4831	0.1003
4688	50445705	0.1749	-0.4948	5.1897	0.0824	0.9764	0.0674	0.1907	0.6697	0.1348
4689	50445706	0.1749	-0.3081	3.676	0.0668	0.4373	0.0952	0.1676	0.4831	0.1116
