No.	NAME	SpMax2_Bh(m)	SpMax3_Bh(m)	SpMax4_Bh(m)	SpMax5_Bh(m)	SpMax6_Bh(m)	SpMax1_Bh(v)	SpMax2_Bh(v)	SpMax6_Bh(v)	SpMax7_Bh(v)	SpMax3_Bh(e)	SpMax4_Bh(e)	SpMax5_Bh(e)	SpMax1_Bh(p)	SpMax2_Bh(p)	SpMax1_Bh(i)	SpMax2_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin1_Bh(m)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(m)	SpMin8_Bh(m)	SpMin1_Bh(v)	SpMin2_Bh(v)	SpMin5_Bh(v)	SpMin7_Bh(v)	SpMin1_Bh(e)	SpMin2_Bh(e)	SpMin3_Bh(p)	SpMin4_Bh(p)	SpMin6_Bh(p)	SpMin3_Bh(i)	SpMin8_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)	SpMin6_Bh(s)	SpMin7_Bh(s)	SpMin8_Bh(s)
3645	50347132	3.6862	3.5755	3.4705	3.332	3.3032	3.9054	3.7115	3.1715	3.1527	3.7417	3.6393	3.5061	3.9043	3.7294	4.0024	3.8874	4.8365	4.4864	4.4252	4.3727	4.1729	4.1496	3.9603	2.0854	2.0505	2.0065	1.9118	1.575	2.0486	2.0042	1.7505	1.5919	1.9398	1.834	1.9243	1.8248	1.6068	1.7083	1.1504	1.4306	1.3676	1.3013	1.1527	1.0643	0.9448	0.7531	0.6415
3646	8961	3.6167	3.173	3.0163	2.717	2.5127	4.0381	3.6359	2.5309	2.3704	3.3029	3.1411	2.9234	4.0342	3.6499	4.1348	3.7808	4.781	4.3899	3.9811	3.6778	3.4386	3.2379	2.9417	2.1557	1.9488	1.5065	1.4359	0.6744	2.1593	1.9017	1.1958	0.8968	2.0685	1.7537	1.4927	1.3489	1.0023	1.2358	0	1.4271	1.1386	0.7541	0.6055	0.2477	0.1679	0	0
3647	50259930	3.6861	3.5747	3.4692	3.3211	3.2257	3.8996	3.7115	3.1673	3.0653	3.7409	3.6381	3.5025	3.8996	3.7294	3.9957	3.887	6.4689	6.3504	4.5843	4.4245	4.1743	4.1509	3.9626	2.0849	2.05	2.0053	1.9104	1.3996	2.0461	2.0033	1.748	1.4583	1.9367	1.8338	1.9231	1.8226	1.5707	1.7079	1.1122	1.4303	1.3675	1.2997	1.1479	1.0619	0.9387	0.7494	0.6377
3648	50340108	3.9101	3.8162	3.5051	3.2958	3.0956	4.1119	3.8976	3.0987	2.9419	3.8858	3.6045	3.4021	4.111	3.8994	4.179	3.9932	4.9315	4.7256	4.7085	4.3964	4.0992	3.9373	3.8339	2.1862	2.078	2.0308	1.7565	1.2947	2.1836	2.0585	1.5583	1.3909	2.1183	1.9546	1.9786	1.7361	1.4271	1.8634	0.9939	1.44	1.3567	1.1607	0.9525	0.7504	0.6728	0.6278	0.4508
3649	50340109	3.9096	3.8053	3.5011	3.2952	3.0593	4.1103	3.8942	3.042	2.9383	3.8682	3.5974	3.4018	4.109	3.8944	4.1773	3.9925	5.1399	4.9297	4.7187	4.5943	4.3951	4.0982	3.8586	2.1839	2.0775	1.9873	1.7304	1.1805	2.1824	2.0583	1.5583	1.3149	2.117	1.9515	1.9573	1.7273	1.363	1.8393	0.8614	1.4391	1.3549	1.1249	0.8913	0.7466	0.6663	0.5253	0.2569
3650	50340110	3.9099	3.8125	3.5048	3.296	3.1261	4.1107	3.8947	3.0713	2.9428	3.8742	3.6014	3.4021	4.1094	3.8949	4.1779	3.9927	4.9358	4.845	4.7178	4.4032	4.3533	4.0978	3.8572	2.184	2.0775	1.9903	1.7352	1.3231	2.1825	2.0583	1.5583	1.3913	2.1171	1.9517	1.964	1.7325	1.5087	1.8426	1.0349	1.4393	1.3552	1.1299	0.9008	0.7471	0.6669	0.5838	0.513
3651	50340111	3.91	3.8126	3.5028	3.2954	3.1059	4.1108	3.8948	3.0567	2.9554	3.8741	3.5999	3.4019	4.1094	3.8949	4.1779	3.9927	4.936	4.8424	4.7177	4.4024	4.3631	4.0983	3.871	2.1838	2.0775	1.9904	1.7359	1.3391	2.1824	2.0583	1.5583	1.3914	2.117	1.9516	1.964	1.7311	1.5101	1.8426	1.0459	1.4393	1.3552	1.13	0.9009	0.7471	0.6668	0.5799	0.524
3652	50340112	3.9103	3.8128	3.4986	3.2947	3.0643	4.1111	3.8949	3.038	2.9757	3.874	3.5967	3.4018	4.1094	3.8949	4.1781	3.9927	4.9367	4.8335	4.7175	4.3992	4.382	4.0987	3.8766	2.1829	2.0775	1.9909	1.7373	1.3448	2.1821	2.0583	1.5583	1.3915	2.1167	1.9515	1.9638	1.7281	1.5125	1.8426	1.0466	1.4396	1.3555	1.1303	0.9011	0.7471	0.6667	0.5739	0.5359
3653	50340113	3.9183	3.8324	3.4891	3.2613	3.0871	4.1121	3.902	3.019	2.9468	3.8821	3.5732	3.3682	4.1102	3.9013	4.1795	3.998	5.1424	4.931	4.7547	4.7191	4.4064	4.3385	4.0812	2.1765	1.9908	1.8672	1.8267	1.2304	2.1735	1.9915	1.6045	1.3698	2.1124	1.9057	1.9128	1.73	1.5122	1.7705	0.8989	1.3959	1.1823	1.1466	1.0282	0.7594	0.6018	0.5613	0.3017
3654	50340114	3.911	3.8295	3.5068	3.2959	3.1129	4.111	3.8951	3.0605	2.9557	3.8805	3.6021	3.402	4.1094	3.8946	4.178	3.9927	5.1405	4.931	4.7547	4.717	4.4011	4.3384	4.0978	2.1827	2.0774	1.9698	1.7285	1.3274	2.1819	2.0583	1.5583	1.3914	2.1167	1.9511	1.965	1.732	1.5103	1.8405	1.046	1.4393	1.3551	1.1259	0.8907	0.7466	0.6664	0.5794	0.5133
3655	50340115	3.9116	3.836	3.5098	3.2966	3.1398	4.1114	3.8956	3.0821	2.9614	3.8862	3.6056	3.4022	4.1097	3.8951	4.1786	3.9928	4.9491	4.8963	4.718	4.4958	4.4	4.2941	4.0974	2.1827	2.0774	1.9728	1.7334	1.452	2.182	2.0583	1.5583	1.5192	2.1167	1.9512	1.9713	1.7361	1.5236	1.8438	1.0503	1.4394	1.3554	1.131	0.9003	0.7471	0.667	0.5867	0.5745
3656	50340116	3.9141	3.8558	3.5132	3.2969	3.1438	4.1122	3.8967	3.0859	3.0263	3.897	3.6087	3.4023	4.1101	3.8954	4.1794	3.993	4.974	4.9125	4.718	4.5795	4.4627	4.398	4.1867	2.1816	2.0773	1.9554	1.7316	1.5358	2.1816	2.0583	1.565	1.5328	2.1164	1.9509	1.9779	1.7386	1.5426	1.845	1.079	1.4396	1.3557	1.1322	0.8997	0.7471	0.6671	0.587	0.5843
3657	50340117	3.9286	3.8914	3.5576	3.4034	3.291	4.1124	3.8993	3.167	2.9606	3.9374	3.6347	3.4535	4.1107	3.8987	4.1824	3.9983	6.999	5.1404	4.9306	4.7196	4.6644	4.3958	4.0985	2.1849	2.0777	2.0064	1.739	1.1939	2.185	2.0591	1.5583	1.3911	2.1182	1.9545	2.0447	1.7702	1.5425	1.8642	1.0089	1.4395	1.3557	1.1377	0.9111	0.7474	0.6669	0.5385	0.2602
3658	8961	3.6167	3.173	3.0163	2.717	2.5127	4.0381	3.6359	2.5309	2.3704	3.3029	3.1411	2.9234	4.0342	3.6499	4.1348	3.7808	4.781	4.3899	3.9811	3.6778	3.4386	3.2379	2.9417	2.1557	1.9488	1.5065	1.4359	0.6744	2.1593	1.9017	1.1958	0.8968	2.0685	1.7537	1.4927	1.3489	1.0023	1.2358	0	1.4271	1.1386	0.7541	0.6055	0.2477	0.1679	0	0
3659	50241346	3.8195	3.6595	3.3978	3.2287	3.1016	4.0087	3.8039	3.017	2.9323	3.7251	3.5282	3.3911	4.0016	3.8052	4.1075	3.9126	5.1302	4.8709	4.7982	4.4816	4.3889	4.3408	3.9869	2.117	2.0152	1.8382	1.7866	1.3312	2.1227	1.993	1.6025	1.3902	2.0238	1.8779	1.8471	1.7265	1.5077	1.6607	0.9729	1.4252	1.2571	0.9583	0.9302	0.7831	0.7288	0.5858	0.5113
3660	50341583	3.9309	3.8919	3.6819	3.5621	3.4218	4.0987	3.8541	3.3762	3.28	3.9279	3.7766	3.6319	4.0904	3.8468	4.1991	4.0509	5.093	5.0344	4.9481	4.6308	4.474	4.4498	4.2849	2.1751	1.9721	1.9352	1.8635	1.5846	2.1984	1.9678	1.7796	1.6647	2.1086	1.8731	1.9195	1.8561	1.6876	1.656	1.2627	1.4041	1.2852	1.2154	1.1587	1.0155	0.9287	0.8529	0.8062
