No.	NAME	X1A	X2A	X3A	X5A	X2v	X4v	X0Av	X1Av	X3Av	X5Av	X3sol	RDCHI
5776	50237543	0.4494	0.2919	0.1938	0.0838	11.7595	6.2031	0.5995	0.3432	0.1149	0.0392	14.7262	5.6199
5777	50237222	0.4483	0.2906	0.1938	0.0841	10.7815	5.5812	0.5861	0.3275	0.1064	0.0358	14.5358	5.4822
5778	50237546	0.4522	0.2961	0.1979	0.0862	12.5681	6.4707	0.6026	0.3462	0.1185	0.0409	15.4357	5.932
5779	50237544	0.4494	0.2917	0.1946	0.0844	11.2742	5.8459	0.5921	0.3343	0.1101	0.0374	14.7858	5.5956
5780	50237374	0.4471	0.2897	0.1922	0.0831	11.0524	5.8495	0.5941	0.336	0.1113	0.0379	14.2262	5.3941
5781	50237222	0.4483	0.2906	0.1938	0.0841	10.7815	5.5812	0.5861	0.3275	0.1064	0.0358	14.5358	5.4822
5782	50237226	0.4483	0.2908	0.193	0.0835	11.406	6.0263	0.5969	0.3397	0.1131	0.0385	14.4762	5.5074
5783	50237539	0.4515	0.2937	0.196	0.0851	11.9813	6.1994	0.5973	0.3412	0.1137	0.0387	15.2858	5.8194
5784	50237227	0.4515	0.2937	0.196	0.0851	11.8422	6.0841	0.5943	0.3383	0.112	0.038	15.2858	5.8194
5785	50237538	0.4459	0.2886	0.1915	0.0828	10.6989	5.7002	0.5912	0.3322	0.1094	0.0371	13.9762	5.2797
5786	50237221	0.4502	0.2942	0.1965	0.0856	11.861	6.1171	0.5978	0.3397	0.115	0.0396	14.9357	5.7091
5787	50237545	0.4483	0.2906	0.1938	0.0841	10.9207	5.6966	0.5892	0.3306	0.1083	0.0365	14.5358	5.4822
5788	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
5789	50237540	0.4512	0.2952	0.1972	0.0859	12.2145	6.2939	0.6002	0.343	0.1167	0.0402	15.1857	5.821
5790	50237226	0.4483	0.2908	0.193	0.0835	11.406	6.0263	0.5969	0.3397	0.1131	0.0385	14.4762	5.5074
5791	50237543	0.4494	0.2919	0.1938	0.0838	11.7595	6.2031	0.5995	0.3432	0.1149	0.0392	14.7262	5.6199
5792	50237225	0.4505	0.2927	0.1953	0.0848	11.4886	5.9073	0.5917	0.3349	0.1102	0.0372	15.0358	5.7079
5793	50237542	0.4505	0.2927	0.1953	0.0848	11.6278	6.0227	0.5947	0.3378	0.112	0.038	15.0358	5.7079
5794	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
5795	50237221	0.4502	0.2942	0.1965	0.0856	11.861	6.1171	0.5978	0.3397	0.115	0.0396	14.9357	5.7091
5796	50237540	0.4512	0.2952	0.1972	0.0859	12.2145	6.2939	0.6002	0.343	0.1167	0.0402	15.1857	5.821
5797	50237545	0.4483	0.2906	0.1938	0.0841	10.9207	5.6966	0.5892	0.3306	0.1083	0.0365	14.5358	5.4822
5798	50237538	0.4459	0.2886	0.1915	0.0828	10.6989	5.7002	0.5912	0.3322	0.1094	0.0371	13.9762	5.2797
5799	50237228	0.4491	0.2932	0.1958	0.0853	11.5074	5.9678	0.5952	0.3362	0.1132	0.0388	14.6857	5.5963
5800	50237546	0.4522	0.2961	0.1979	0.0862	12.5681	6.4707	0.6026	0.3462	0.1185	0.0409	15.4357	5.932
5801	50237544	0.4494	0.2917	0.1946	0.0844	11.2742	5.8459	0.5921	0.3343	0.1101	0.0374	14.7858	5.5956
5802	50237542	0.4505	0.2927	0.1953	0.0848	11.6278	6.0227	0.5947	0.3378	0.112	0.038	15.0358	5.7079
5803	50237223	0.4494	0.2917	0.1946	0.0844	11.1351	5.7305	0.589	0.3313	0.1083	0.0366	14.7858	5.5956
5804	9006	0.4419	0.2822	0.1794	0.0757	9.3332	5.1386	0.5832	0.3357	0.1006	0.032	12.379	4.8116
5805	50235809	0.454	0.3102	0.2002	0.0771	6.7861	2.6034	0.6064	0.3184	0.0944	0.0267	8.6098	3.6457
5806	50235811	0.4556	0.311	0.2031	0.0787	7.168	2.8143	0.6073	0.3252	0.0996	0.0272	8.935	3.7687
5807	50245727	0.4352	0.2759	0.1783	0.0731	7.7454	4.1682	0.5712	0.3077	0.0891	0.0274	11.4095	4.3104
5808	8970	0.4377	0.2752	0.1732	0.0719	11.8749	7.4876	0.6174	0.3701	0.1175	0.0394	14.5536	5.0108
5809	50245716	0.4361	0.2763	0.1729	0.0719	10.9858	6.3748	0.5913	0.3348	0.0985	0.0312	14.6998	4.9867
5810	50245728	0.4362	0.2745	0.1714	0.0684	11.3626	6.2858	0.5591	0.3156	0.0883	0.0258	16.457	5.2579
5811	50252540	0.4647	0.3014	0.2019	0.0825	5.4496	2.6079	0.6263	0.3639	0.1179	0.0336	6.8633	3.4588
5812	50252566	0.4461	0.2926	0.1918	0.0812	8.9457	5.0365	0.615	0.3687	0.1288	0.0434	10.1665	4.4742
5813	50252606	0.4594	0.304	0.1978	0.0859	7.5302	3.6064	0.5873	0.3386	0.1102	0.0349	9.2969	4.369
5814	50252563	0.4542	0.302	0.1983	0.0857	7.0321	3.6047	0.612	0.3689	0.1266	0.0427	7.9333	3.9516
5815	50252607	0.4444	0.2911	0.1907	0.0817	7.4393	3.8095	0.5811	0.3296	0.105	0.0332	9.9165	4.3136
5816	50252573	0.4551	0.2999	0.1942	0.0842	6.4695	3.1035	0.5734	0.3213	0.1006	0.0312	8.5469	3.9983
