No.	NAME	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50	QEDu
26	50267501	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21
27	50267500	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1872
28	8960	0	1	1	1	1	1	1	1	1	0.3333	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0.7811
29	50267503	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3647
30	50267504	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3359
31	50267505	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3057
32	50267506	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282
33	50267511	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3245
34	50267512	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2956
35	50267514	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2725
36	50267550	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2486
37	50267551	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2956
38	50267552	0	0.75	0.5	0.6667	0.9	1	0.6667	0.5	0.7119	0.3333	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2659
