No.	NAME	MWC07	SRW05	MPC09	piPC03	piPC07	piPC10	piID	PCD
5710	50234813	9.3386	2.3979	4.8283	4.8081	6.5978	7.6012	10.2687	2.9595
5711	50234814	9.3861	2.3979	4.8903	4.8402	6.616	7.6352	10.4272	2.9731
5712	50234815	9.4382	3.0445	4.9767	4.8637	6.6398	7.6783	10.6842	2.9948
5713	50234816	9.4482	2.3979	5.0173	4.8714	6.6424	7.6846	10.7916	3.0001
5714	50234817	9.4873	2.3979	5.0434	4.8866	6.6502	7.7	10.8886	3.004
5715	50234818	9.5096	2.3979	5.0814	4.9016	6.6554	7.7061	10.9771	3.007
5716	50234819	9.5813	2.3979	5.0814	5.083	6.7366	7.7863	12.0688	3.9732
5717	50234820	9.5305	2.3979	5.0689	5.0386	6.7183	7.7764	11.789	3.8089
5718	50234821	9.6441	2.3979	5.1417	5.1135	6.7752	7.8139	12.2032	3.9988
5719	50234822	9.6216	2.3979	5.1417	5.1044	6.7853	7.8098	12.1119	3.9075
5720	50234823	9.3408	2.3979	4.8283	4.8081	6.5924	7.6012	10.2895	2.9803
5721	50234824	9.4874	2.3979	5.037	4.8941	6.7368	7.7686	10.6024	3.0116
5722	50234825	9.5689	2.3979	5.2257	4.9523	6.7888	7.8389	10.8413	3.0228
5723	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5724	50234826	9.1833	2.3979	4.6052	4.714	6.4541	7.4124	9.8377	2.8907
5725	50234827	9.1859	2.3979	4.6151	4.714	6.4559	7.4083	9.8484	2.9014
5726	50234813	9.3386	2.3979	4.8283	4.8081	6.5978	7.6012	10.2687	2.9595
5727	50234814	9.3861	2.3979	4.8903	4.8402	6.616	7.6352	10.4272	2.9731
5728	50234815	9.4382	3.0445	4.9767	4.8637	6.6398	7.6783	10.6842	2.9948
5729	50234816	9.4482	2.3979	5.0173	4.8714	6.6424	7.6846	10.7916	3.0001
5730	50234817	9.4873	2.3979	5.0434	4.8866	6.6502	7.7	10.8886	3.004
5731	50234828	9.505	2.3979	5.0304	5.0255	6.7018	7.7618	11.7697	3.8341
5732	50234819	9.5813	2.3979	5.0814	5.083	6.7366	7.7863	12.0688	3.9732
5733	50234820	9.5305	2.3979	5.0689	5.0386	6.7183	7.7764	11.789	3.8089
5734	50234821	9.6441	2.3979	5.1417	5.1135	6.7752	7.8139	12.2032	3.9988
5735	50234822	9.6216	2.3979	5.1417	5.1044	6.7853	7.8098	12.1119	3.9075
5736	50234823	9.3408	2.3979	4.8283	4.8081	6.5924	7.6012	10.2895	2.9803
5737	50234824	9.4874	2.3979	5.037	4.8941	6.7368	7.7686	10.6024	3.0116
5738	50234825	9.5689	2.3979	5.2257	4.9523	6.7888	7.8389	10.8413	3.0228
5739	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5740	50234827	9.1859	2.3979	4.6151	4.714	6.4559	7.4083	9.8484	2.9014
5741	50234828	9.505	2.3979	5.0304	5.0255	6.7018	7.7618	11.7697	3.8341
5742	50234830	9.6053	2.3979	5.118	5.0953	6.7542	7.8037	12.0832	3.9485
5743	50234831	9.3884	2.3979	4.9053	4.8402	6.6168	7.6363	10.4566	3.0025
5744	50234826	9.1833	2.3979	4.6052	4.714	6.4541	7.4124	9.8377	2.8907
5745	50234829	9.4482	2.3979	5.0173	4.8714	6.6424	7.6846	10.7916	3.0001
5746	50234818	9.5096	2.3979	5.0814	4.9016	6.6554	7.7061	10.9771	3.007
5747	50234830	9.6053	2.3979	5.118	5.0953	6.7542	7.8037	12.0832	3.9485
5748	50234831	9.3884	2.3979	4.9053	4.8402	6.6168	7.6363	10.4566	3.0025
5749	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5750	50197240	9.7982	2.3979	5.663	5.2176	6.9489	8.0774	13.0384	4.2447
5751	50232637	9.8225	0	5.7621	5.2364	7.0469	8.1973	12.9823	4.2829
5752	50232641	9.9131	2.3979	5.9216	5.1719	6.8375	7.9072	12.4708	3.2401
5753	50232638	9.7932	0	5.6699	5.2284	6.9783	8.1362	13.169	4.4207
5754	50232640	9.7641	0	5.6419	5.0891	6.7612	7.7678	12.1134	3.4475
5755	50232644	9.7103	0	5.6204	5.1676	6.9412	8.0712	12.9064	4.3732
5756	50234767	9.7663	0	6.045	5.1985	7.4806	8.9001	13.3453	4.5428
