No.	NAME	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
3474	50329513	15	29	21	4	0.75	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.5714	0	0	47.8979	165.6591	0	0	76.3015	202.2339	0	0
3475	50329514	16	35	27	4	0.7941	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.4706	0	0	66.1474	327.0503	0	0	106.5838	278.4329	0	0
3476	50329504	16	35	27	4	0.8182	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.4848	0	0	62.5891	306.3735	0	0	100.6076	262.4278	0	0
3477	50329505	16	35	27	4	0.8438	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.5	0	0	59.0847	285.9669	0	0	94.7432	246.8974	0	0
3478	50329506	16	35	27	4	0.8182	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.4848	0	0	62.5891	306.3735	0	0	100.6076	262.4278	0	0
3479	50329507	16	35	27	4	0.8438	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.5	0	0	59.0847	285.9669	0	0	94.7432	246.8974	0	0
3480	50329508	16	34	26	4	0.8125	0.3077	1.3077	2	0.3333	0	0	0	0	2	4	0	0	1	3	0	0	2	0.5	0	0	133.6948	204.9083	0	0	95.8326	250.2882	0	0
3481	50329509	15	29	21	4	0.6176	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.4706	0	0	67.3851	231.7548	0	0	108.5162	282.9643	0	0
3482	50329510	15	29	21	4	0.6563	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.5	0	0	60.7418	208.71	0	0	97.479	254.7692	0	0
3483	50329511	15	29	21	4	0.7	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.5333	0	0	54.2418	186.651	0	0	86.7323	227.8248	0	0
3484	50329512	15	29	21	4	0.7241	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.5517	0	0	50.9845	175.5757	0	0	81.3446	214.2948	0	0
3485	50203126	15	29	21	4	0.84	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.64	0	0	38.929	137.8631	0	0	61.7575	168.527	0	0
3486	50203126	15	29	21	4	0.84	0.381	1.381	1	0.2	0	0	0	0	1	4	0	0	1	3	0	0	2	0.64	0	0	38.929	137.8631	0	0	61.7575	168.527	0	0
3487	50320888	16	35	27	4	0.7714	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6286	0	0	69.5961	343.3205	0	0	112.3605	293.649	0	0
3488	50320889	16	35	27	4	0.75	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6111	0	0	73.1014	360.3099	0	0	118.2525	309.3674	0	0
3489	50320890	16	35	27	4	0.7297	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.5946	0	0	76.8191	382.0043	0	0	124.5551	326.7913	0	0
3490	50320891	16	35	27	4	0.7714	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6286	0	0	69.5961	343.3205	0	0	112.3605	293.649	0	0
3491	50320892	16	35	27	4	0.75	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6111	0	0	73.2612	364.6456	0	0	118.5559	310.6037	0	0
3492	50320893	16	35	27	4	0.7714	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6286	0	0	69.5961	343.3205	0	0	112.3605	293.649	0	0
3493	50320894	16	35	27	4	0.75	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6111	0	0	73.2612	364.6456	0	0	118.5559	310.6037	0	0
3494	50320895	16	35	27	4	0.7297	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.5946	0	0	76.6067	377.2994	0	0	124.1445	325.0858	0	0
3495	50320896	16	35	27	4	0.7105	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.5789	0	0	80.377	399.3631	0	0	130.5544	342.9788	0	0
3496	50320897	16	35	27	4	0.7714	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.6286	0	0	69.7559	347.98	0	0	112.6639	294.8853	0	0
3497	50320898	16	35	27	4	0.7941	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6471	0	0	66.1474	327.0503	0	0	106.5838	278.4329	0	0
3498	50320899	16	35	27	4	0.7714	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6286	0	0	69.3194	341.7368	0	0	111.7992	291.2284	0	0
3499	50320900	18	41	31	5	0.8158	0.3226	1.3226	2	0.2857	0	0	0	0	1	6	0	0	1	4	0	0	4	0.6842	0	0	76.5636	454.2329	0	0	124.1359	483.9943	0	0
3500	50320901	18	41	31	5	0.7949	0.3226	1.3226	2	0.2857	0	0	0	0	1	6	0	0	1	4	0	0	4	0.6667	0	0	80.4396	482.3227	0	0	130.721	513.4298	0	0
3501	50320902	18	41	31	5	0.8158	0.3226	1.3226	2	0.2857	0	0	0	0	1	6	0	0	1	4	0	0	4	0.6842	0	0	76.5636	454.2329	0	0	124.1359	483.9943	0	0
3502	50320903	18	41	31	5	0.7949	0.3226	1.3226	2	0.2857	0	0	0	0	1	6	0	0	1	4	0	0	4	0.6667	0	0	80.4396	482.3227	0	0	130.721	513.4298	0	0
