No.	NAME	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_2	P_VSA_m_4	P_VSA_m_5	P_VSA_e_2	P_VSA_e_3	P_VSA_e_5	P_VSA_p_2	P_VSA_p_3	P_VSA_p_4	P_VSA_i_1	P_VSA_i_2	P_VSA_i_3	P_VSA_i_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_s_6	P_VSA_ppp_L	P_VSA_ppp_D	P_VSA_ppp_A	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_ppp_ter	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_4	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_8	P_VSA_charge_9	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
3828	50203126	21.7661	11.2905	47.3812	13.6702	88.2945	23.5422	0	188.3376	67.5418	0	0	23.0946	101.6381	1.8991	0	126.6319	0	0	124.7328	1.8991	43.9996	45.8986	124.7328	0	0	124.7328	255.8794	1.8991	0	46.538	80.0939	0	43.9996	61.4328	0	45.8986	93.5753	88.4294	0	126.8655	21.7661	43.9996	0	0	1.8991	0	0	43.6635	35.553	157.0068	58.8555	32.1268	9.407	0	0
3829	8961	0	10.1381	70.8022	16.7855	13.4162	0	0	141.2532	0	0	0	15.039	79.3175	16.7855	0	111.142	0	0	61.4593	49.6827	0	49.6827	61.4593	0	0	61.4593	141.2532	49.6827	0	23.5543	37.905	0	49.6827	53.8017	32.8972	16.7855	68.1067	63.3896	0	78.2448	32.8972	32.8972	16.7855	0	0	0	28.4287	22.7999	102.2553	49.2285	0	0	0	0	0
3830	50359379	0	16.0264	108.7072	51.5818	13.7837	4.6558	0	211.8798	47.0844	0	0	23.439	119.7342	51.5818	0	194.755	0	0	107.1517	87.6033	0	87.6033	107.1517	0	0	107.1517	258.9642	87.6033	0	31.3417	78.9343	18.0108	66.4682	89.7847	50.9079	36.6954	124.6963	120.408	0	139.6356	32.8972	50.9079	3.1243	33.5711	0	0	59.392	34.6041	145.4646	121.9993	0	4.6558	0	0	0
3831	50359380	0	34.0372	108.7072	81.4314	13.3549	4.6558	0	211.8798	72.2293	0	0	41.4498	124.01	51.5818	0	217.0415	0	0	111.4275	105.6141	25.1449	130.759	111.4275	0	0	111.4275	284.1092	105.6141	0	35.6175	78.9343	36.0215	91.6132	86.5991	68.9187	61.8403	124.2675	119.9792	0	139.2068	58.0421	68.9187	28.2692	33.5711	0	0	40.4395	50.371	146.1157	124.105	0	4.6558	4.7046	0	0
3832	50359381	0	31.5026	108.7072	81.4314	13.3549	4.6558	0	188.3376	72.2293	0	0	38.9152	124.01	51.5818	0	214.507	0	0	108.8929	105.6141	25.1449	130.759	108.8929	0	0	108.8929	260.567	105.6141	0	33.083	78.9343	36.0215	91.6132	84.0646	68.9187	61.8403	124.2675	119.9792	0	136.6723	58.0421	68.9187	28.2692	33.5711	0	0	37.905	50.371	122.5735	124.105	0	4.6558	4.7046	0	0
3833	50359382	0	20.6188	108.7072	51.5818	26.8415	4.6558	0	235.422	58.0843	0	0	28.0314	121.792	51.5818	0	201.4052	0	0	113.8019	87.6033	10.9999	98.6032	113.8019	0	0	113.8019	293.5063	87.6033	0	37.9919	78.9343	18.0108	77.4681	86.5991	50.9079	47.6953	126.7542	122.4659	0	141.6935	32.8972	61.9078	3.1243	33.5711	0	0	40.4395	50.371	143.3589	147.6472	9.8358	4.6558	0	0	0
3834	50359383	17.6504	13.0152	108.7072	51.5818	26.8415	4.6558	0	211.8798	81.6265	0	0	38.0782	121.792	51.5818	0	211.452	0	0	123.8487	87.6033	10.9999	98.6032	123.8487	0	0	123.8487	293.5063	87.6033	0	30.3883	96.5847	18.0108	77.4681	96.646	50.9079	47.6953	126.7542	122.4659	0	126.7542	50.5476	61.9078	3.1243	33.5711	0	0	55.5554	45.302	143.3589	147.6472	9.8358	4.6558	0	0	0
3835	50359384	0	23.1533	108.7072	51.5818	26.8415	4.6558	0	235.422	81.6265	0	0	30.5659	121.792	51.5818	0	203.9397	0	0	116.3364	87.6033	10.9999	98.6032	116.3364	0	0	116.3364	317.0485	87.6033	0	40.5264	78.9343	18.0108	77.4681	89.1337	50.9079	47.6953	126.7542	122.4659	0	141.6935	32.8972	61.9078	3.1243	33.5711	0	0	40.4395	52.9056	192.549	126.5917	5.2434	4.6558	0	0	0
3836	50359385	0	31.9315	108.7072	63.4206	16.1117	2.3279	0	188.3376	72.2293	0	0	42.1008	121.6821	33.5711	0	197.3539	0	0	109.7506	87.6033	25.1449	112.7482	109.7506	0	0	109.7506	260.567	87.6033	0	33.9406	78.9343	18.0108	91.6132	86.5991	50.9079	61.8403	124.6963	150.2576	0	139.6356	58.0421	50.9079	28.2692	33.5711	0	0	40.4395	50.371	146.1157	98.4571	0	5.0847	0	4.7046	0
3837	50359386	0	29.3969	108.7072	63.4206	16.1117	2.3279	0	164.7954	72.2293	0	0	39.5663	121.6821	33.5711	0	194.8194	0	0	107.2161	87.6033	25.1449	112.7482	107.2161	0	0	107.2161	237.0248	87.6033	0	31.4061	78.9343	18.0108	91.6132	84.0646	50.9079	61.8403	124.6963	150.2576	0	137.1011	58.0421	50.9079	28.2692	33.5711	0	0	37.905	50.371	122.5735	98.4571	0	5.0847	0	4.7046	0
