No.	NAME	Eta_alpha_A	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_F	Eta_F_A	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_4	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiD	Eta_D_psiA	Eta_D_psiB	Eta_D_beta	Eta_D_beta_A
2059	50079213	0.4696	0.5763	0.6471	1.1765	0.9201	32.045	0.9425	0.2271	0.6908	0.0203	0.1044	0.3006	0	0	0.0304	0.8363	0.5279	0.8363	0.0483	0	0.1525	0	-4	-0.1176
2060	50079186	0.4687	0.5831	0.6515	1.197	0.8875	31.5675	0.9566	0.234	0.6908	0.0209	0.1078	0.3103	0	0	0.0313	0.8404	0.5316	0.8404	0.0515	0	0.1563	0	-3.5	-0.1061
2061	50079187	0.4667	0.5887	0.6452	1.2258	0.8419	31.4811	1.0155	0.2516	0.7666	0.0247	0.1843	0.3318	0	0	0.0333	0.8495	0.5333	0.8495	0.0554	0	0.1646	0	-2	-0.0645
2062	50079188	0.4633	0.5982	0.65	1.2333	0.8404	30.9392	1.0313	0.2623	0.7117	0.0237	0.2038	0.3525	0	0	0.0367	0.8667	0.5394	0.8667	0.0588	0	0.1794	0	-2	-0.0667
2063	50079189	0.4656	0.5918	0.6563	1.2031	0.8944	31.1264	0.9727	0.2433	0.6359	0.0199	0.123	0.3289	0	0	0.0344	0.8562	0.5373	0.8562	0.0545	0	0.1702	0	-3.5	-0.1094
2064	50079190	0.4645	0.6	0.6613	1.2258	0.8591	30.6388	0.9883	0.2512	0.6359	0.0205	0.1273	0.3403	0	0	0.0355	0.8613	0.5417	0.8613	0.0583	0	0.1747	0	-3	-0.0968
2065	50079191	0.4621	0.6074	0.6552	1.2586	0.8088	30.5399	1.0531	0.2712	0.7117	0.0245	0.2114	0.3657	0	0	0.0379	0.8724	0.5441	0.8724	0.0633	0	0.1844	0	-1.5	-0.0517
2066	50079192	0.4705	0.583	0.6346	1.2692	0.7481	24.7253	0.951	0.2643	0.6091	0.0234	0.1499	0.3188	0	0	0.0295	0.8333	0.5201	0.8333	0.0629	0	0.1494	0	0	0
2067	50079193	0.4726	0.5767	0.6429	1.2321	0.8109	24.8993	0.8893	0.2424	0.5333	0.019	0.063	0.2947	0	0	0.0274	0.8238	0.5189	0.8238	0.0578	0	0.1403	0	-1.5	-0.0536
2068	50079194	0.4716	0.5853	0.6481	1.2593	0.7711	24.4452	0.9054	0.2514	0.5333	0.0198	0.0654	0.3063	0	0	0.0284	0.8284	0.5229	0.8284	0.0624	0	0.1447	0	-1	-0.037
2069	50079195	0.4693	0.5928	0.64	1.3	0.7118	24.3511	0.974	0.2746	0.6091	0.0244	0.1563	0.3324	0	0	0.0307	0.8387	0.5244	0.8387	0.0683	0	0.1544	0	0.5	0.02
2070	50079196	0.4654	0.6132	0.6389	1.3056	0.7527	27.4496	1.0167	0.2675	0.6224	0.0231	0.1724	0.3501	0	0	0.0346	0.8568	0.5425	0.8568	0.0707	0	0.1708	0	0.75	0.0278
2071	10620	0.4704	0.5383	0.625	1.0694	0.8249	13.9586	0.7755	0.2236	0.5484	0.0305	0.3346	0.3307	0	0	0.0296	0.8296	0.5072	0.8296	0.0311	0	0.147	0	-3.25	-0.1806
2072	50072946	0.4811	0.6514	0.6417	1.4417	0.7365	33.5434	1.1181	0.2923	0.7466	0.0249	0.0924	0.3672	0	0	0.0189	0.8389	0.5449	0.8389	0.1065	0	0.1405	0	4.75	0.1583
2073	50072947	0.4883	0.6072	0.6333	1.4333	0.7633	32.3766	1.0792	0.2863	0.7635	0.0254	0.1057	0.3618	0	0	0.0117	0.8017	0.5182	0.8017	0.089	0	0.105	0	5	0.1667
2074	50072948	0.4948	0.6576	0.6406	1.4844	0.765	36.2413	1.1325	0.2908	0.8528	0.0266	0.1474	0.36	0	0	0.0052	0.8365	0.5525	0.8365	0.1052	0	0.1225	0	6.5	0.2031
2075	50072949	0.516	0.6287	0.6333	1.4333	0.8144	30.8427	1.0281	0.2784	0.7635	0.0254	0.1538	0.3424	0	0.016	0	0.804	0.5291	0.804	0.0996	0	0.0721	0	5	0.1667
2076	50072950	0.5092	0.6051	0.6293	1.4569	0.7724	29.9522	1.0328	0.2854	0.6573	0.0227	0.1129	0.3251	0	0.0092	0	0.7839	0.5126	0.7839	0.0924	0	0.0644	0	5.75	0.1983
2077	50072951	0.4833	0.6244	0.6452	1.4355	0.7504	34.5639	1.115	0.2914	0.7255	0.0234	0.1033	0.3538	0	0	0.0167	0.8232	0.5317	0.8232	0.0927	0	0.127	0	4.5	0.1452
2078	50072952	0.4756	0.6027	0.6417	1.4583	0.7087	33.607	1.1202	0.2987	0.6193	0.0206	0.0584	0.3364	0	0	0.0244	0.8044	0.5162	0.8044	0.0865	0	0.1228	0	5.25	0.175
2079	50072953	0.4754	0.6705	0.6484	1.4922	0.7136	37.8835	1.1839	0.2992	0.8528	0.0266	0.1127	0.3746	0	0	0.0246	0.8558	0.5616	0.8558	0.109	0	0.1584	0	6.25	0.1953
2080	50072954	0.4954	0.6421	0.6417	1.4417	0.7597	32.4839	1.0828	0.2874	0.7635	0.0254	0.1186	0.3566	0	0	0.0046	0.8246	0.5385	0.8246	0.1037	0	0.1132	0	4.75	0.1583
2081	50072955	0.4878	0.6185	0.6379	1.4655	0.7173	31.5519	1.088	0.2948	0.6573	0.0227	0.074	0.3393	0	0	0.0122	0.8053	0.522	0.8053	0.0965	0	0.1082	0	5.5	0.1897
2082	50072956	0.4878	0.6185	0.6379	1.4655	0.709	31.406	1.083	0.2948	0.6573	0.0227	0.074	0.3393	0	0	0.0122	0.8053	0.522	0.8053	0.0965	0	0.1082	0	5.5	0.1897
2083	50088585	0.4675	0.5887	0.641	1.2564	0.9347	42.8754	1.0994	0.2638	0.7386	0.0189	0.1554	0.3236	0	0	0.0325	0.8479	0.5273	0.8479	0.0614	0	0.1626	0	-1	-0.0256
2084	50088586	0.47	0.5816	0.6563	1.2438	0.9288	42.1109	1.0528	0.2584	0.7556	0.0189	0.0975	0.3085	0	0	0.03	0.835	0.5229	0.835	0.0587	0	0.1511	0	-2.75	-0.0688
2085	50088587	0.4647	0.5879	0.6691	1.1838	0.924	34.0655	1.0019	0.2476	0.7253	0.0213	0.1477	0.3354	0	0	0.0353	0.8588	0.5375	0.8588	0.0504	0	0.1729	0	-5.25	-0.1544
2086	50088588	0.4703	0.5829	0.6351	1.2703	0.887	39.7351	1.0739	0.265	0.7253	0.0196	0.1341	0.3103	0	0	0.0297	0.8351	0.52	0.8351	0.0629	0	0.1509	0	0	0
2087	50088589	0.4711	0.5767	0.6316	1.25	0.9267	40.0821	1.0548	0.2575	0.6873	0.0181	0.1304	0.3017	0	0	0.0289	0.8316	0.5172	0.8316	0.0595	0	0.1475	0	-0.5	-0.0132
2088	50088590	0.4675	0.5887	0.641	1.2564	0.9197	42.7223	1.0954	0.2642	0.7766	0.0199	0.1554	0.3236	0	0	0.0325	0.8479	0.5273	0.8479	0.0614	0	0.1626	0	-1	-0.0256
2089	50088591	0.4683	0.5827	0.6375	1.2375	0.96	43.0853	1.0771	0.2572	0.7386	0.0185	0.1512	0.3149	0	0	0.0317	0.8442	0.5244	0.8442	0.0583	0	0.1592	0	-1.5	-0.0375
2090	50088592	0.4707	0.5759	0.6524	1.2256	0.9533	42.3474	1.0329	0.2521	0.7556	0.0184	0.095	0.3005	0	0	0.0293	0.8317	0.5202	0.8317	0.0557	0	0.148	0	-3.25	-0.0793
2091	50088593	0.4657	0.5812	0.6643	1.1643	0.951	34.3417	0.9812	0.2405	0.7253	0.0207	0.1431	0.3252	0	0	0.0343	0.8543	0.5337	0.8543	0.0474	0	0.1688	0	-5.75	-0.1643
2092	50088594	0.4718	0.5711	0.6282	1.2308	0.9391	40.2655	1.0324	0.2514	0.7253	0.0186	0.1268	0.2935	0	0	0.0282	0.8282	0.5146	0.8282	0.0565	0	0.1443	0	-1	-0.0256
2093	50088595	0.4636	0.5952	0.6742	1.2045	0.9072	34.0868	1.0329	0.2549	0.7253	0.022	0.1525	0.3464	0	0	0.0364	0.8636	0.5416	0.8636	0.0537	0	0.1772	0	-4.75	-0.1439
2094	50088596	0.4694	0.5896	0.6389	1.2917	0.8703	39.833	1.1065	0.2723	0.7253	0.0201	0.1381	0.3195	0	0	0.0306	0.8389	0.523	0.8389	0.0666	0	0.1544	0	0.5	0.0139
2095	50088597	0.4703	0.5829	0.6351	1.2703	0.9113	40.2267	1.0872	0.2645	0.6873	0.0186	0.1341	0.3103	0	0	0.0297	0.8351	0.52	0.8351	0.0629	0	0.1509	0	0	0
